,id,tweet,sarcastic,rephrase,dialect
1489,1490,المؤامرة الحقيقية على مصر هي إعادة إنتاج الاستبداد بإجراءات متسارعة، الآن ينقل نائب عام عينه الرئيس مستشارا جليلا تعسفيا لرفضه احتجاز أبرياء,0,,msa
516,517,فاكر نفسك شيكابالا,1,انت مابتعرفش تلعب,nile
2654,2655, يجب على  تركيا و  إيران و  الصين و  روسيا أن تُتاجر مع عملاتها. ليست هناك حاجة للتجارة مع  الدولار و  اليورو. ,0,,msa
910,911, رأى الرئيس ميشال عون أن (الرئيس السوري) بشار الأسد لو خسر الحرب، لتحولت سورية إلى ليبيا ثانية ، ,0,,msa
436,437,اخطيك من دار النساء,1,الدار لي ما يحكمش فيها الرجل,magreb
1890,1891,د عبد المنعم أبو الفتوح على قناة الحرة: أنا ضد مظاهرات ماسبيرو و ضد المظاهرات أمام الكنائس,0,,msa
3096,3097,احنا مالنا بفيفي ماتجيبو طلاب الثانوي المظلوميين,0,,nile
2424,2425, عمري في حياتي كلها ما اعتبرت اي شيء كتبته؛ كتابات ادبية.بوب ديلان ,0,,nile
91,92,الشعر عنوان جمال المراه وهي جوابها باين من عنوانه,1,شعرها مش حلو,nile
169,170,تبع الكذاب لباب الدار,1,يعني راح نسايرك حتى نفيق بيك,magreb
1118,1119, جلال عامر الغائب الحاضر,0,,msa
2970,2971,"لاعبو الزمالك والجهاز الفني يزورون مستشفى الناس"" للأطفال""",0,,nile
2397,2398, احمد الشيخ🙈  احتفظ يااهلي بالصداره ,0,,msa
121,122,محمد رمضان أخذ الدكتوراة الفخرية يالا سخرية القدر,1,محمد رمضان اخد دكتوراة لا يستحقها,msa
544,545,ال سابته الهانم تاخده مساحة السلالم,1,الست الكويسة لما تسيب راجل يبقى تاخده اى ست وخلاص,nile
1282,1283,ههههههه الله يرحمك ي| عمنا ♡~`° | جﻻل عامر,0,,nile
362,363,ياكل في في الغلة و اسب في الملة,1,يتنعم بالنعمة ويسب صاحبها,magreb
1742,1743,شكرا ياشباب على محبتكم ربنا يجعل كلامنا خالصا لله والوطن ده رابط تحميل المعصرة مقالة أحمد زكي مهمة تصبحوا على خير,0,,nile
1640,1641,انه دائماً من الرائع أن تكسب الجوائز لأن هذا يعني انك قدمت موسماً جيداً  تشلسي  تشيلسي,0,,msa
322,323,طلبت نملة من فيل استعمال المايو فرفض لأنه اعتقد أن النملة ستوسع المايو ههههههههههههههههههههه,1,الفيل لم يقدر أنه حجمه الكبير لا يسمح بأن يستطيع حيوان آخر يوسع المايو,msa
964,965,كثير من الناس ماتقبل فكرة اوبر او كريمومايدري انه جميع موظفينهم عليهم رقابة شديدة من الشركة لان جميع معلوماتهم الشخصية مسجلة ١ اوبر كريم,0,,msa
160,161,النجار اللى عمل الشبابيك اللى فى الشقه عندك سبعه صنايع والحظ ضايع,1,النجار ماهر فى عمله,nile
527,528,هتعرفو تعالجو مو صلاح ولا ناخد ابننا نعالجه عندنا في القصر العيني,1,القصر العينى مش هيعرف يعالج محمد صلاح,nile
115,116,سبحان العاطى الوهاب من بعد الشبشب والاوبئاب,1,بعد الفقر والفاقة جاء الغني والمال,nile
2605,2606,  مبارك سحبه مرتين بالفعل راجع معلوماتك,0,,nile
1327,1328,جووووووووول  زمااااااااالك  دومينيك,0,,nile
919,920, أنشيلوتي يقول أن المانسيتي هو من يتحصل على لقب دوري الأبطال، و انه يتكلم مع بيريز بشكل مستمر ... تجربة تدريب ريال مدريد ضرورية لكل مدرب ,0,,msa
1182,1183, حلب المحروسة ... ستبقى درة الشرق والحصن الحصين لتراث الأمة الخالد.  ستبقي حلب ,0,,msa
3052,3053,لا حول ولا قوه الا بالله مش عارفه الناس مالها اتجننت,0,,nile
177,178,كان القرد نفع نفسه يسطا,1,انت نفسك مبتعملش بكلامك,nile
250,251,دة فاكر نفسة دييغو مارادونا,1,ده غبي لكن فاكر نفسه لاعب كورة زي مارادونا,nile
1674,1675,نهنئ الدكتور عبد المنعم أبو الفتوح بتأسيس حزب  مصر القوية ، وندعو له بالتوفيق وبأن يكون هذا الحزب خطوة نحو بناء,0,,nile
1847,1848, قوات  الاحتلال تقمع المشاركين في مسيرة كفر قدوم المناهضة للاستيطان، قبل قليل، وتطلق قنابل الغاز والصوت بكثافة صوبهم. ,0,,msa
200,201,قالك رئيس المغرب هو أمير المؤمنين تاع هذا الوقت 😂,1,رئيس المغرب ليس له علاقة بالدين,magreb
2900,2901,الاوضة من كتر الدخان اللى خارج منها من كتر السجاير افتكرتها مصنع,0,,nile
1573,1574, وراحت الايام وشوي شوي.. سكت الطاحون عا كتف المي ... وجدي صار طاحون الذكريات .. يطحن شمس وفي.  فيروز ,0,,msa
3054,3055,فين المستشفيات الحكومية اللى تقوم بعمل المسحه او التحليل,0,,nile
604,605,القرد فى عين امه غزال,1,صاحب الشئ شايفه أحسن حاجة,nile
679,680,با واد كفايه هتتكفى على وشك وتتعور,1,اخلص وانزل يلا هتنزل على وشك وتتصاب,nile
868,869,شبح اضطرابات عشية التصديق على عشرات الإعدامات | الأخبار  مصر  القاهرة  محمد…,0,,msa
2981,2982,لما حد يسألنى عن حالتى العاطفية والله ما اعرف😒😒😒,0,,nile
2823,2824,تاكى وجع فى بطنه وركبك يا واطيه يا زباله,0,,nile
535,536,علي وضعك يازميلي,1,انت كفئ لهذا العمل,nile
652,653,شعب مقْودة ضحكوا عليه ضحك معاهم,1,شعب يقودونه كالحمير وهو لا يفهم شئ,magreb
2595,2596, كتير ب  لبنان عم يقولوا ان الحكومة الجديدة ل  المستقبل إدارتها ول  حزب الله قرارها! ,0,,levant
2101,2102,برومو حلقة (بائع الليمون) - ثاني حلقات الأنيميشن من برنامج بسمة أمل انتظروا الحلقة الساعة 7 مساء الخميس,0,,msa
567,568,برة وجوة فرشتلك وانت مايل ايه يعدلك.,1,عملت كل شئ وانت ما فى شئ عاجبك ولا تريده,nile
113,114,صفر /عشرة كتير لو فريق من درجة ثالثة كان لعب احسن منهم,1,ده فريق فاشل واتهزم هزيمة كبيرة ,nile
1462,1463, افضل فنان بحرف  ر راغب علامة رامي عياش رابح صقر راشد الماجد ,0,,msa
737,738,هى مش خيبة الأمل راكبة جمل اومال معايا بتيجى بسرعة ليه,1,مش للحق اخد نفسى الخيبات بتيجى ورا بعض,nile
137,138,ياعم انت فاكرني جدو اول ما انزل هجيب جون,1,التشبه باللاعيب المصري جدو لانه كل ما ينزل الملعب يحرز هدف,nile
20,21,يقولو بلي تكري فإيبيزا ولا فالسات تستقاملك كيف كيف كيما هدا لوتال,1,سعر الفندق غالي,magreb
1628,1629,صح :),0,,nile
2536,2537,إن كان من عادوا للتأسيسية يرون في هذا عملا وطنيا فهذا لهم ولا يحق لا لي ولا لغيري رغم اختلاف الموقف والتقدير المزايدة على وطنيتهم,0,,msa
3068,3069,عشان تفهمو مقولة الاهلى فوق الجميع ...عندكو الجميع فوق الزمالك,0,,nile
566,567,انت عارف يا ريس الشخص ده جزمته بعشرة من عينتك,1,الشخص ده افضل منك بكثير,nile
2730,2731,سواء اتفقنا او اختلفنا مع الاستاذ خالد صلاح فمن حقه ان يعبر عن رأيه ويقوم بواجبه الاعلامي بحرية كاملة الاعتداء على خالد صلاح ارهاب وبلطجة,0,,msa
368,369,ابوي  لو يبنشر الكفر معي   قال من هالتضليله اللي انت حاطه “̮,1,ابوي لو بينشر الكفر معي,levant
2143,2144, فرنساالقضاء الفرنسي يدين مديرة صندوق النقد الدولي كريستين لاغارد بتهمة  الإهمال  ,0,,msa
1387,1388,  الجيش السوري يسيطر على طرق امداد المسلحين القادمة من جهة حزرما باتجاه بلدة الميدعاني بالغوطة الشرقية في ريف  دمشق. ,0,,msa
921,922,عمر سليمان قتل و تعذيب المصريين في مبني المخابرات بالوكالة عن أمريكا، و قتل إخواننا الفلسطينيين في غزة,0,,nile
908,909, صراحه اشكر اللي اخترع برنامج  اوبر ركبت مع واحد سيارته تاهو اسود يجلط من زينه ، ما كان ودي اوصل للمكان اللي ابيه من زينه ,0,,gulf
887,888, احتفالاتنا بمناسبة المولد النبوي الشريف على صاحبه افضل الصلاة والسلام ) هو يغيض الكفار ويجعلهم من هزمين ماديا ومعنويا وثقافيا ولا ارادة لهم ,0,,msa
409,410,ليلي طاهر والله افتكرتها ماتت سبحان الله ... انتي ليسه عندك شروط كمان,1,ليلي طاهر كبرت أوى ولسه تريد العودة للتمثيل بشروط,nile
1961,1962,2-والمواقع مثل امازون   جولي شيك   شيئين   علي اكسبريس   حجوزات الفنادق  بوكيق  والطيران كلاً من الامراتي والقطري والكثير,0,,msa
1636,1637, اعتراف انهرده كان يوم عالمى وكله بان على حقيقته,0,,nile
2234,2235,(إذ قالت امرأت عمران رب إني نذرت لك ما في بطني محررا فتقبل مني إنك أنت السميع العليم) [آل عمران:35]  ريال مدريد,0,,msa
1582,1583, ذات مومنت لما تقدم عرض عمل جديد متحمسله عمرك ما إشتغلته لزبون واليوم موعد إجتماعه مع مقره في اليابان وشعورك أنا شن درت إن شاء الله يرفضوا!,0,,gulf
722,723,هي الكحكه في إيد اليتيم عجبة,1,نال شيئا كبيرا ولم يتوقع احد أن هذا الشخص أن يناله,nile
2193,2194,2 لا مواجهة ناجحة للتطرف ولا إنقاذ للتعايش إلا بتفعيل سيادة القانون وحماية حقوق الأقلية قبل الأغلبية والمحاسبة الناجزة للمتورطين في العنف,0,,msa
735,736,البنت دى عاملة فيها خضرة الشريفة,1,البنت دى مش محترمة,nile
865,866,سلامة أحمد سلامة، تركت إرثاً من الأخلاق حين عزت و من الحصافة حين اهتزت و من الشجاعة حين كان لها ثمن يرحمك الله,0,,msa
391,392,الرئيس ترامب افضل رئيس موجود على مجرة درب التبانه,1,الرئيس ترامب رئيس فاشل واداؤه غير مرضى لفئة كبيره,nile
1555,1556,الفرد هو الركيزة الأساسية التي تقوم عليها عملية التغيير والإصلاح والتي و إن بدت صعبة إلا أنها ليست مستحيلة ، بل,0,,msa
551,552,لو باض الديك بدل الفرخة هعديك,1,مستحيل هعملك اللى انت عاوزه مهما حصل,nile
1567,1568,  لو كان بخاطري نفسي اطلع لعمل تطوعي لمساعدة النازحين السوريين💔 ,0,,levant
1117,1118,الحديدة غارتين للطيران في مدينة الحديدة باتجاه كيلو 16 22/11/2016 وين الانفجار الان اليمن,0,,msa
313,314,يخرب بيت خفة دم ابوك وامك اللى جابوك,1,دمك تقيل,levant
1110,1111,بسمة أمل من المستشفى - إسعاد غيرك إسعاد لنفسك,0,,msa
530,531,حرام اخدت اللقاح وجاتلى كرونا بسببه,1,لقاح فاسد,nile
536,537,اللى معاه قرش محيره يجيب نجمه ويعمل احتفال بخسارة الدورى,1,وما فائدة كل ما تفعله وانت قد خسرت الدوري,nile
417,418,غلطه انك تدخل الحمام وتنسىٰ جوالك بالغرفة ابو الملل ! مالك إلا تقعد تقرأ فوائد الشامبو,1,لا تدخل الحمام وتنسى جوالك بالغرفة والا لن تجد ما تفعله,gulf
2802,2803,تحية لرئيس جمهورية فنزويلا الذي انحاز بقرار إعادة سفير بلاده للقاهرة لثورة مصر وارادة شعبها وأكد على متانة وعمق العلاقات بين الشعبين,0,,msa
171,172,يا عم أصاحب مين ده عشري باع ابراهيم,1,مفيش حد بصاحب حد بجد الناس كلها بتخون بعضها,nile
118,119,الغاوى بنقط بطاقيته,1,أذا كنت تحب شئ وتغوى قربه عليك دفع ماتملكه وتدخره لتناله,nile
1895,1896, عميد بلدية  سرت مختار المعداني يناشد المجتمع الدولي تقديم الدعم وتوفير المعدات اللازمة للفرق المختصة في انتشال الجثث من تحت الركام. ,0,,msa
185,186,مستنين شهر أبريل عشان يكذبون فيه على أساس أنهم ملايكه طول السنه,1,هما مش فارق معاهم اى شهر فى السنه بيكذبو على طول,nile
48,49,اي حاجة باصي لميسي,1,روح لحد بيفهم,nile
151,152,لا عاوزين تنجحوهم ولا عاوزين تغششوهم ينتحروا يعني,1,نظام تعليمي ينتج الفشلة والغشاشين,nile
770,771,  غزة-جيش  الاحتلال يؤكد اشتباك قواته مع المتظاهرين شرق غزة مساء اليوم ,0,,msa
1338,1339,الجولة الانتخابية للدكتور عبد المنعم أبو الفتوح أثناء مرورها بموقف الميكروباص بالحي العاشر - مدينة نصر ونقاش حولة,0,,msa
1022,1023, نادين قالتلى هجبلك ايفون في عيد ميلادك ✋✋ و انا بصدقها 😂😂 ,0,,nile
26,27,تعالي كل مكرونا وانسي اللي حصل من ايفونا,1,هزيمة نادى الزمالك من الأهلى عندما احرز الهدف ماليك إيفونا,nile
257,258,ياويلكم ياويلكم ب برنس الفصول وفخر المناخ وهبة ميل الأرض عن محورها,1,الشتاء قادم وهو افضل فصول السنة,nile
1043,1044,فضيحه تانيه أنا لسه ماسك ف مستشفي راس سدر وعرفت ان تم أخذ من الدوله حدود ١٥١ مليون جنيه لم يتم صرف ٦٠٪ منها,0,,nile
575,576,مزاجي عال العالي، احسن من هيك فش,1,مزاجي كثير سيء,levant
259,260,احترس من قرني الثور وحوافر الحصان وابتسامة بعض الناس,1,عليك ان تحترس من بعض الناس اللي تظهر لك الخير والشر يملا قلبهم,msa
114,115,البنت اللي تركت حبيبها صار عندها الX .. بقي ناقصها الايفون,1,البنت اللي تركت حبيبها صار عندها حبيب سابق,levant
291,292,هو أنت كدة عايش؟ يا بني دا أنت ميت بالحياة,1,أنت حياتك صعبة ومش طبيعية ,nile
290,291,متعمليش فيها محمد صبحي يا عم انت,1,متعملش نفسك محترم,nile
2331,2332,تحياتي يا بلد,0,,nile
502,503,الرد المتأخر زي الأكل البارد يسد الجوع بس ماله طعم,1,الردود المتاخرة لا جدوى منها,levant
1838,1839, ع منطق حقير ولا يتبعه سوى الجبناء هذه نفس تقتل عارف يعني ايه؟ يمكن لو أخوك أو أمك كنت تفهم,0,,nile
404,405,صاحبك الحقيقي هو اللي تقوله يا حمار يقولك نعم,1,صاحبك الاصيل مهما انت عملت فيه مش هيزعل منك,nile
2486,2487,أرشح صاحب هذا الحساب كأفضل مغرد لإفادتي في مجال ( لعبة 14)  تدوين,0,,msa
2723,2724, يفضل شرب العصير الطازج فور الإنتهاء من تحضيره..!؟! بسبب زيادة فرص تعرض العصير للبكتريا عند التخزين.  ريال مدريد ,0,,msa
1988,1989, أرسل المغني بوب ديلان الفائز بجائزة نوبل للأدب رسالة  يشكر فيها الأكاديمية السويدية و وصف هذا المنح بأنه شرف يضاهي  الوقوف فوق القمر  ,0,,msa
550,551,رمضان بيه بيحب يقف على الكوره عندكو حد عيوطه والا نجيب حازم امام,1,حازم إمام لاعب ضعيف,nile
637,638,عدد الحالات 3890 -- الكلية : خلاص بقي ينزلوا الكلية بعد العيد يمتحنوا قبل ما يموتوا,1,ان الامتحانات لازم تتعمل,nile
133,134,ظهرت معزاز كبير,1,شاطر في الغمل,magreb
2229,2230,جنايات المنيا : تصدر حكماً بإعدام 37 إرهابيا اخوانياً وبحبك 492 لمده 25 عاما في قضيه اعمال العنف بمطاي بعد عزل الرئيس الخائن  محمد مرسي,0,,msa
107,108,شفت دي آخرة اللي يجي علي الولاية,1,اللي بيظلم واحدة ست نهايته وحشة,nile
677,678,المنتخب الليبي: متضامن مع البدري ويحتج عل اتحاد الكره المصري (والنبي سيبوووووه),1,المنتخب الليبي يتمني استمرار البدري في تدريب المنتخب لعلمه بفشله,nile
357,358,ياللي بلاصص عضه اسد ولانظره حسد,1,توقف عن حسد غيرك,nile
227,228,في منك على موز,1,أنت بتفهم فى كل حاجة بلاش تباهى,levant
473,474,لقد مرت علينا كل الظروف الا الظرف اللي فيه فلوس,1,بيحصلنا حاجات كتير محتاجة فلوس الا اننا ناخد فلوس,nile
1600,1601,حلب المحرقه والتهجير وهذا يذكرنا بما حصل للفلسطينيين فى 48 من الصهاينة تحت نظر واشراف بريطانيا وحلب تحت اشراف الروس والامريكان ومن قبل ايرا,0,,msa
3015,3016,فوز ايطاليا باليورو وعندنا هذا الهجوم العفن ، انجاز كروي والله,0,,msa
2576,2577, نعم ستظل  بنغازي قلب  ليبيا النابض شاء من شاء ,0,,msa
533,534,وخلى الساعه الرولايكس كمان تضرب منبه يا عم الخطيب,1,تسولت الساعة من تركي الشيخ يا خطيب,nile
927,928,الا يستطيع خيرت الشاطر ان يتصل بحازم ابو اسماعيل ليطلب منه ان يكف ارهابه عن المصريين ام ان الشاطر موافق على ارهاب ابواسماعيل الاجابة واضحة,0,,nile
765,766, بعد انهزام رينزي في استفتاء ايطاليا اوروبا تتجه رويدا الي الشعبوية و اليمين المتطرف ,0,,msa
1882,1883, الحمد لله على نعمة الإسلام وقائد الحزم سلمان 💚فالاختلاط لا يطعم فقيرا و لا يحمي ضعيفا و لا يستر عاريا بل يفضح !  ماذا لو المدارس مختلطه ,0,,msa
377,378,أبوك البصل وأمك التوم، منين لك الريحة الحلوة يا مشؤوم,1,لما الواحد يكون دائما متشائم ولا يعرف الانبساط,nile
817,818,لن نسمح أن يزج بنا فى حرب أخرى وتدخلنا بـ  سوريا و  أوكرانيا من أجل الحل السلمي أميركا  العرب,0,,msa
1807,1808, هو فيه واحده جديده دخلت الاسلام اسمها نورهان ابوبكر ؟ ,0,,nile
1780,1781, : يضاف اليهم البرادعى ضمير الثورة  طبعا,0,,msa
96,97,منين ممثله محترمه ومنين ربنا يتوب عليها من التمثيل (المحترم )!!,1,ربنا يتوب على الممثلة دى من التمثيل كان التمثيل ذنب يجب التوبه منة,nile
2251,2252,بيت لحم- الاحتلال يطلق سراح الاسير عبد الهادي طقاطقة من بلدة  بيت فجار بعد ان امضى مدة محكوميته البالغة ١٠ سنوات وشقيقه دعيس بعد ٤ شهور,0,,msa
558,559,دى فاكرة نفسها كلوديا شيفر,1,دى فاكرة نفسها رفيعه وهى اصلا تخينه ,nile
328,329,ده ميعرفش اي بتنجان خالص,1,ده جاهل,nile
1997,1998, مقترح خليجي ب  الجامعة العربية يعتبر ممارسات بشار  جرائم حرب      حلب تباد ,0,,msa
203,204,اصبر يا عم علينا على الفلوس اللى ليك عندنا هو احنا هنطير,1,اصبر عليا فى الفلوس وهرجعهالك,nile
272,273,العرب ظاهرة صوتية غير موزونة وغير مقفاة.,1,اتفقا العرب ان لا يتفقوا,msa
694,695,محمد صلاح قى حفل التتويج مبيسلمش على الممثلات الله على اخلاقك يا فخر العرب,1,ان محمد صلاح ميسلمش على ممثلات عشان حرام,nile
655,656,انا كل ما اسمع الاغنيه الجديدة لامال ماهر ببقي عايز اسيب البيت والم هدومي ف كيسه بلاستيك,1,الاغنية بتشجع علي الاستقلالية ليا وللبنات,nile
634,635,هذا العبد حاط روحو ما يخراش,1,هذا الإنسان متكبر كثيرا,magreb
2418,2419,و انت طيب يا شاعر يا رائع,0,,msa
1129,1130,نودع اليوم فقيد الصحافة المصرية صاحب الكلمة الحرة الأستاذ سلامة أحمد سلامة إلى مثواه الأخير وهذا أقل ما يمكن أن نقدمه لقلمه المحترم,0,,msa
975,976, هتحبك لو احترمتها فى وجودها او غيابها ;),0,,nile
1803,1804, الوطن | رئيس المجلس المصري للشؤون الخارجية يغادر إلى  نيويورك  مصر  اخبار,0,,msa
528,529,جاتكم قرف بقا قرفتونا بالتعليم بتاعكم بجد,1,تعليم فاشل,nile
750,751, علامات: من علامات موت القلب عدم الحزن على مافات وعدم الفرح على ماهو آت,0,,msa
3059,3060,الإقلاع عن التدخين هو أسهل شيء . وأنا أعلم ما هو فقد قمت بذلك خمسين مرة,0,,nile
1107,1108,إذا جعلك والديك أميراً مدللاً في صغرك فاجعلهما ملوكاً متوجة في كبرك,0,,msa
2114,2115,ﻭﻓﺄﻯ ﻣﻜﺎﻥ ﻭ ﻓﺄﻯ ﺯﻣﺎﻥ ﺑﻘﻮﻟﻬﺎ ﻟﻴﻚ ﻭ ﺑﺎﻋﻠﻰ ﺻﻮﺕ ﻏﻴﺮﻙ ﻣﻠﻴﺶ ﻋﺸﺎﻥ ﺍﻋﻴﺶ  ﺍﻻﻫﻠﻰ فى قلبى ﻟﺤﺪ ما  أموووووت,0,,nile
1019,1020,يرفض نسب هجوم سيناء ضد خلية إرهابية إلى إسرائيل,0,,msa
3056,3057,إلزام المدارس الخاصة بالمصروفات الدراسية وحلوه معاقبه المخالفين دي اي كلام فاضي وخلاص,0,,nile
680,681,دنا كنت بحب واحدة لما كانت تقعد كانت الكنبة بترجع,1,دنا كنت بحب واحدة شكلها وحش جدا,nile
231,232,لا تكثري اكل عشان ما تصيري دبة,1,لا تكثري الاكل حتى لا تسمني,levant
784,785,رحم الله سامر سليمان، كان مصريا مخلصا لقيم المواطنة والديمقراطية وأستاذا متميزا للاقتصاد السياسي، رحمه الله,0,,msa
204,205,الف مبروك للسباح المصري حصوله علي المركز الثامن من اصل تمن مشاركين الحمد لله انه مغرقش,1,السباح المصري مش بيعرف يعوم,nile
3045,3046,يعنى هو ومحمد رمضان ابو زمل فى اادكتوراه الفخريه بس بجد رئيس سابق محترم,0,,nile
1602,1603,شرح تثبيت نظام ويندوز 10 (الفورمات) + نصائح مهمه بعد التثبيت |2017|:,0,,msa
79,80,يا خارجة من باب الحمام وكل خد عليه خوخة,1,يا متجوزة وخدك مكسوف,nile
2891,2892,الشتا دخل علينا خلاص اخيرا هتوحشنا يا صيف,0,,nile
1944,1945,  لافروف :  واشنطن سحبت مقترحها حول  حلب لسحب المسلحين  روسيا ,0,,msa
3091,3092,غنكتب على حجرة كبيرة توحشتك وكنتمنى تطيح على راسك باش تجربي الالم لي كنحس به فغيابك,0,,magreb
57,58,شامم ريحه مؤامره,1,اشتباه بوجود مؤامره,nile
1959,1960,منذ عامين وحتى الآن كل ما قدمه أنصار تيارات الشعارات الإسلامية لمصر مجرد مشاريع خناقات مع العالم والكون وأبناء الوطن,0,,msa
150,151,اللي مستني امل قوله أمل اتمسكت علي الدائري,1,مفيش أى أمل فى أى حاجة,nile
980,981,لا ينكر أحد ضرورة إجراء إصلاحات شاملة بالقضاء سواء فى كيفية التعيين فى البداية وحتى كيفية المحاسبة داخل القضاءلهذا تقدم,0,,msa
2617,2618,  ستولتنبرغ|  الناتو يقدم دعماً سياسياً لأوكرانيا ويواصل العمل على وحدة أراضيها  مباشر  تركيا  أوكرانيا ,0,,msa
193,194,هيموت ويلعب و يكمل ف العزبه خايف اليغمه تروح عليه,1,نفسه يرجع يلعب في الأهلي,nile
1548,1549, لا يفوتكم يا شباب محمد فودة على اكشن يا دوري وفقرة الاخطاء التحكيمية  حممممااااس ,0,,msa
2788,2789,يوم اللغه العربيه الجامعة السعودية الالكترونيةعندك واجبات ماث!!!!عندك واجب ومشغول وموقادرتحقق 100%...نحنا انحلها 0507797125,0,,gulf
376,377,انت اكيد مش انت وانت جعان ، كل كويس احسنلك,1,إنه يتغير لما مش بياكل كويس ويتغير,nile
278,279,الحمد لله ماعدت بحاجه لعلاج الضغط والسكر مروان محسن مشى من الاهلى,1,مروان محسن لاعب فاشل ومشى من الأهلى,nile
2849,2850,شالفايده اطرش تويتات و مافي اي ريتويت و الفولورز قليلين !؟,0,,levant
2554,2555, خلق جميل الاحسان الى الجار,0,,msa
3019,3020,عجبا لاطفال اليومين دول يلعبوا طول اليوم  ويجوا ع بليل يقولوا مش لاقين حاجه نعملها,0,,nile
366,367,علي فكره احسن من علي سهوه,1,انتبه لما هو قادم,nile
1563,1564,الاختيارات مش عاجبانى,0,,nile
2591,2592,قلمين عقب أسبوع من محمد محمود المجد لأبطال محمد محمودهتفضل مصر شايلة جميلهم دائما وأبدا,0,,nile
1269,1270, تحقيق حكومي في  لندن يعزز اتهامات  صنعاء ل  بريطانيا ب  جرائم حرب :  السعودية قصفت  اليمن بلقنابلنا العنقودية ,0,,msa
